,饮料类商品,销量,标签
1,怡宝纯净水,531,畅销
2,东鹏特饮,448,畅销
3,阿萨姆奶茶,326,畅销
4,脉动,309,畅销
5,营养快线,255,畅销
6,统一冰红茶,228,畅销
7,250ml维他柠檬茶,181,畅销
8,250ml维他原味豆奶,176,畅销
9,红牛,166,畅销
10,统一绿茶,151,畅销
11,果粒橙,145,畅销
12,伊利优酸乳,143,畅销
13,145ml旺仔牛奶盒装,131,畅销
14,250ml燕塘红枣牛奶,128,畅销
15,250ml燕塘甜牛奶,126,畅销
16,雪碧（500ml）,123,畅销
17,250ml燕塘原味酸奶,112,畅销
18,王老吉（500ml）,108,畅销
19,银鹭八宝粥,103,畅销
20,可口可乐（500ml）,101,畅销
21,268ml雀巢咖啡丝滑拿铁,91,正常
22,伊利纯牛奶,90,正常
23,雪碧最新款,78,正常
24,330ml伊利畅意乳酸菌原味,74,正常
25,250ml红牛,71,正常
26,250ml维他奶巧克力味,69,正常
27,450ml美汁源果粒橙,69,正常
28,王老吉（罐）,68,正常
29,雪碧330ml,67,正常
30,500ml统一阿萨姆奶茶,65,正常
31,维他奶,62,正常
32,维他柠檬茶,58,正常
33,怡宝,55,正常
34,可口可乐最新款,55,正常
35,可口可乐330ml,54,正常
36,205g伊利安慕希原味,53,正常
37,600ml脉动青柠,51,正常
38,芬达330ml,47,正常
39,500ml加多宝,44,正常
40,600ml可口可乐,43,正常
41,茉莉蜜茶,42,正常
42,600ml雪碧,40,正常
43,100g*5瓶益力多,40,正常
44,冰糖雪梨,39,正常
45,480ml小茗同学冷泡青柠红茶,36,正常
46,雀巢咖啡,34,正常
47,500ml农夫果园 (芒果+菠萝+番石榴),31,正常
48,雪力矿泉水,29,正常
49,150g健能酸奶原味,28,正常
50,百事可乐500ml,25,正常
51,250ml维他奶低糖原味,25,正常
52,180ml雀巢咖啡罐装,22,正常
53,250ml王老吉盒装,22,正常
54,阿萨姆煎茶奶绿,20,正常
55,美年达（罐）,19,正常
56,康师傅矿泉水,19,正常
57,尖叫,19,正常
58,优益C活菌型乳酸菌饮品,17,正常
59,250ML东鹏特饮,16,正常
60,250ml统一麦香奶茶,16,正常
61,椰树牌椰汁,16,正常
62,旺仔牛奶,15,正常
63,百事可乐330ml,15,正常
64,80g香飘飘椰果奶茶原味,14,正常
65,80g香飘飘椰果奶茶麦香味,13,正常
66,农夫果园,13,正常
67,可乐可乐,13,正常
68,燕塘红枣牛奶,11,正常
69,250ml维他奶黑豆奶饮品,11,正常
70,怡宝矿泉水,11,正常
71,乐虎,11,正常
72,维他原味豆奶,10,正常
73,250ml维他椰子植物蛋白饮料,8,滞销
74,美汁源果粒橙,8,滞销
75,雪碧,8,滞销
76,205ml安慕希蓝莓味,7,滞销
77,益力多100g*5瓶,7,滞销
78,维他奶黑豆奶饮品,7,滞销
79,480ml小茗同学冷泡溜溜哒茶,7,滞销
80,燕塘甜牛奶,7,滞销
81,统一阿萨姆奶茶,7,滞销
82,小茗同学,6,滞销
83,500ml营养快线原味,6,滞销
84,250ml维他椰子植物蛋白饮料9374,6,滞销
85,冰红茶（罐）,6,滞销
86,燕塘原味酸奶,6,滞销
87,脉动（青柠）,5,滞销
88,乐虎（380ml）,5,滞销
89,可口可乐330ml（罐）,5,滞销
90,500ML宝矿力,4,滞销
91,天地一号,4,滞销
92,加多宝,4,滞销
93,商品2,4,滞销
94,经典奶茶,4,滞销
95,13g雀巢咖啡1+2特浓,4,滞销
96,500ml统一冰糖雪梨,4,滞销
97,维他奶（巧克力味）,4,滞销
98,500ml康师傅冰糖雪梨,4,滞销
99,维他柠檬茶330ml（罐）,3,滞销
100,珠江纯生啤酒,3,滞销
101,500ml恒大冰泉矿泉水,3,滞销
102,拿铁咖啡（统一）,3,滞销
103,旺仔牛奶145ml,3,滞销
104,安慕希酸奶,2,滞销
105,商品1,2,滞销
106,250ml香满楼纯牛奶,2,滞销
107,健能酸奶,2,滞销
108,娃哈哈红枣酸奶,2,滞销
109,145ml旺仔牛奶罐装,2,滞销
110,脉动（椰子菠萝口味）,1,滞销
111,小茗同学冷泡茶（乳酸菌味）,1,滞销
112,芦荟汁,1,滞销
113,250ml维他椰子味豆奶7716,0,滞销
114,200ml汇源橙汁100%,0,滞销
115,340ml蒙牛优益C乳酸菌,0,滞销
116,商品14,0,滞销
117,330ml伊利畅意乳酸菌草莓味,0,滞销
118,小茗同学（青柠红茶）,0,滞销
119,可乐（500ml）,0,滞销
