,饮料类商品,销量,标签
1,怡宝纯净水,1705,畅销
2,脉动,996,畅销
3,营养快线,805,畅销
4,阿萨姆奶茶,792,畅销
5,东鹏特饮,709,畅销
6,统一冰红茶,626,畅销
7,统一绿茶,490,畅销
8,果粒橙,470,畅销
9,王老吉（500ml）,417,畅销
10,王老吉（罐）,410,畅销
11,250ml维他柠檬茶,397,畅销
12,250ml维他原味豆奶,391,畅销
13,芬达330ml,382,畅销
14,伊利优酸乳,375,畅销
15,雪碧最新款,309,畅销
16,红牛,289,畅销
17,250ml燕塘原味酸奶,249,正常
18,可口可乐330ml,244,正常
19,伊利纯牛奶,241,正常
20,250ml燕塘甜牛奶,232,正常
21,145ml旺仔牛奶盒装,228,正常
22,银鹭八宝粥,220,正常
23,250ml燕塘红枣牛奶,206,正常
24,可口可乐（500ml）,202,正常
25,268ml雀巢咖啡丝滑拿铁,197,正常
26,雪碧330ml,173,正常
27,雪碧（500ml）,172,正常
28,250ml红牛,172,正常
29,维他柠檬茶,169,正常
30,500ml统一阿萨姆奶茶,158,正常
31,330ml伊利畅意乳酸菌原味,149,正常
32,600ml可口可乐,145,正常
33,600ml雪碧,143,正常
34,冰糖雪梨,143,正常
35,可口可乐最新款,142,正常
36,450ml美汁源果粒橙,140,正常
37,250ml维他奶巧克力味,138,正常
38,美年达（罐）,133,正常
39,维他奶,132,正常
40,600ml脉动青柠,127,正常
41,500ml加多宝,116,正常
42,雀巢咖啡,97,正常
43,维他原味豆奶,93,正常
44,205g伊利安慕希原味,89,正常
45,茉莉蜜茶,83,正常
46,480ml小茗同学冷泡青柠红茶,77,正常
47,可乐可乐,71,正常
48,尖叫,67,正常
49,100g*5瓶益力多,64,正常
50,500ml农夫果园 (芒果+菠萝+番石榴),63,正常
51,150g健能酸奶原味,61,正常
52,250ml维他奶低糖原味,57,正常
53,椰树牌椰汁,54,正常
54,康师傅矿泉水,54,正常
55,250ML东鹏特饮,49,正常
56,旺仔牛奶,47,正常
57,燕塘红枣牛奶,47,正常
58,乐虎,47,正常
59,加多宝,46,正常
60,芦荟汁,44,正常
61,脉动（青柠）,44,正常
62,250ml统一麦香奶茶,44,正常
63,维他奶（巧克力味）,41,正常
64,燕塘甜牛奶,39,正常
65,统一阿萨姆奶茶,38,正常
66,雪碧,38,正常
67,怡宝,37,正常
68,雪力矿泉水,35,正常
69,益力多100g*5瓶,34,正常
70,农夫果园,29,正常
71,燕塘原味酸奶,29,正常
72,旺仔牛奶145ml,29,正常
73,优益C活菌型乳酸菌饮品,28,正常
74,健能酸奶,27,正常
75,美汁源果粒橙,27,正常
76,180ml雀巢咖啡罐装,24,正常
77,500ml康师傅冰糖雪梨,23,正常
78,145ml旺仔牛奶罐装,21,正常
79,250ml王老吉盒装,20,正常
80,80g香飘飘椰果奶茶原味,20,正常
81,怡宝矿泉水,19,正常
82,480ml小茗同学冷泡溜溜哒茶,16,滞销
83,百事可乐500ml,14,滞销
84,250ml维他椰子植物蛋白饮料,12,滞销
85,阿萨姆煎茶奶绿,11,滞销
86,80g香飘飘椰果奶茶麦香味,11,滞销
87,小茗同学,10,滞销
88,205ml安慕希蓝莓味,10,滞销
89,500ml营养快线原味,10,滞销
90,500ml恒大冰泉矿泉水,9,滞销
91,脉动（椰子菠萝口味）,9,滞销
92,拿铁咖啡（统一）,8,滞销
93,500ML宝矿力,7,滞销
94,250ml维他奶黑豆奶饮品,5,滞销
95,安慕希酸奶,5,滞销
96,13g雀巢咖啡1+2特浓,4,滞销
97,330ml伊利畅意乳酸菌草莓味,3,滞销
98,500ml统一冰糖雪梨,3,滞销
99,250ml维他椰子味豆奶7716,3,滞销
100,商品1,3,滞销
101,可口可乐330ml（罐）,3,滞销
102,乐虎（380ml）,2,滞销
103,维他柠檬茶330ml（罐）,2,滞销
104,经典奶茶,2,滞销
105,340ml蒙牛优益C乳酸菌,2,滞销
106,百事可乐330ml,2,滞销
107,250ml维他椰子植物蛋白饮料9374,2,滞销
108,冰红茶（罐）,2,滞销
109,小茗同学（青柠红茶）,1,滞销
110,维他奶黑豆奶饮品,1,滞销
111,小茗同学冷泡茶（乳酸菌味）,1,滞销
112,商品2,1,滞销
113,珠江纯生啤酒,1,滞销
114,250ml香满楼纯牛奶,0,滞销
115,商品14,0,滞销
116,娃哈哈红枣酸奶,0,滞销
117,天地一号,0,滞销
118,200ml汇源橙汁100%,0,滞销
119,可乐（500ml）,0,滞销
